From:   ISVS1::DM           24-JUL-1996 17:08:11.17
To:     SIC01
CC:     DM
Subj:   Old Flux

Dear Stuart:

These are the measurements done in 1992 by Shiva Krishna.

Enjoy them!

David

***************************************************************************

IRIS FLUX AT SAMPLE POSITION
WAVELENGTH    FLUX(n/cm2/s/A)
         2.0     775000.00
         2.5    3000000.00 
         3.0    5300000.00
         3.5    6900000.00
         4.0    7450000.00
         4.5    8100000.00
         4.74   8500000.00
         5.0    8000000.00
         5.5    6900000.00
         6.0    5800000.00
         6.5    4900000.00
         7.0    4100000.00
         7.5    3400000.00
         8.0    2900000.00
         8.5    2400000.00
         9.0    2000000.00
         9.5    1600000.00
        10.0    1400000.00
        10.5    1160000.00
        11.0    1000000.00
        11.5     850000.00
        12.0     720000.00
        12.5     610000.00
        13.0     500000.00
        13.5     420000.00
        14.00    360000.00
        14.5     315000.00
        15.0     270000.00
        15.5     230000.00
        16.0     200000.00
        16.5     175000.00
        17.0     150000.00
        17.5     130000.00
        18.0     115000.00
        19.0      86000.00
        20.0      68000.00
        21.0      50000.00
        22.0      41000.00
        23.0      32000.00
        24.0      24000.00
        25.0      19000.00 
